Id,LotArea,OverallQual,OverallCond,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,MoSold,SalePrice
1521,10725,5,5,1959,1206,1,3,1.0,1.0,312.0,5,179682.709603774
1522,10032,6,5,1959,1580,1,3,1.0,2.0,440.0,6,179423.751581665
1523,8382,4,5,1956,1337,1,3,1.0,1.0,263.0,2,171756.918091777
1524,10950,5,7,1952,1064,1,2,0.0,1.0,318.0,5,166849.638174419
1525,10895,5,6,1955,972,1,3,1.0,1.0,305.0,6,181122.168676666
1526,13587,5,5,1958,988,1,2,1.0,1.0,264.0,4,170934.462746566
1527,7898,4,7,1994,985,1,2,1.0,2.0,676.0,4,159738.292580329
1528,8064,6,8,2004,1224,1,3,1.0,1.0,280.0,5,174445.759557658
1529,7635,5,6,1960,1175,1,3,1.0,2.0,484.0,6,174706.363659627
1530,9760,6,7,1984,1395,1,2,1.0,2.0,440.0,5,164507.672539365
1531,4800,4,5,1954,1844,1,3,1.0,1.0,240.0,1,163602.512172832
1532,4485,5,7,1950,936,1,2,1.0,0.0,0.0,5,154126.270249525
1533,5805,5,7,1957,1347,1,3,2.0,2.0,551.0,6,171104.853481351
1534,6900,6,7,2000,1251,1,3,0.0,1.0,240.0,1,167735.39270528
1535,11851,5,7,2009,1633,1,3,2.0,1.0,240.0,6,183003.613338104
1536,8239,5,6,1962,1245,1,3,1.0,1.0,315.0,3,172580.381161499
1537,9656,2,2,1970,832,1,2,1.0,2.0,780.0,6,165407.889104689
1538,9600,8,9,2003,1566,2,3,2.0,1.0,288.0,4,176363.773907793
1539,9000,8,9,2002,2268,3,3,2.0,2.0,624.0,4,175182.950898522
1540,9045,5,3,1950,2256,2,4,0.0,0.0,0.0,6,190757.177789246
1541,10560,6,7,1994,1470,1,2,1.0,2.0,624.0,6,167186.995771991
1542,5830,5,6,1997,1612,1,3,1.0,1.0,363.0,3,167839.376779276
1543,7793,7,7,2005,2068,1,3,2.0,1.0,315.0,5,173912.421165137
1544,5000,4,7,1950,765,1,2,2.0,1.0,200.0,4,154034.917445551
1545,6000,6,7,1950,1132,1,2,1.0,1.0,240.0,4,156002.955794336
1546,6000,6,6,1950,1196,1,3,1.0,2.0,576.0,3,168173.94329857
1547,6360,5,6,1950,1453,1,3,2.0,1.0,240.0,3,168882.437104132
1548,6000,6,7,1950,1416,1,3,1.0,1.0,312.0,3,168173.94329857
1549,6240,5,7,1980,1040,1,2,1.0,2.0,624.0,5,157580.177551642
1550,6240,5,5,1950,1536,2,4,1.0,2.0,480.0,3,181922.15256011
1551,6120,6,5,1950,1068,1,2,1.0,1.0,288.0,3,155134.227842592
1552,8094,4,5,1950,1962,1,4,1.0,2.0,572.0,6,188885.573319552
1553,12900,6,8,2009,1560,1,3,2.0,0.0,0.0,5,183963.193012381
1554,3068,6,8,1993,1324,1,3,1.0,1.0,180.0,2,161298.762306335
1555,15263,5,5,1959,1675,2,3,1.0,1.0,365.0,5,188613.66763056
1556,10632,5,3,1950,1224,1,3,1.0,1.0,180.0,1,175080.111822945
1557,9900,5,4,1950,1392,1,3,1.0,0.0,0.0,2,174744.400305232
1558,6001,6,5,1950,919,1,3,1.0,1.0,231.0,3,168175.911336919
1559,6449,4,1,1950,1884,1,4,1.0,0.0,0.0,3,182333.472575006
1560,6048,5,7,1950,1680,2,2,1.0,2.0,450.0,6,158307.206742274
1561,10773,4,3,1967,1832,2,4,1.0,0.0,0.0,5,193053.055502348
1562,7800,5,7,2008,892,1,3,2.0,1.0,416.0,6,175031.089987177
1563,7832,5,5,1968,864,1,2,1.0,1.0,280.0,5,160713.294602908
1564,7424,5,5,1978,1373,1,3,1.0,2.0,591.0,5,173186.215014436
1565,11227,5,5,1968,1440,1,4,1.0,2.0,480.0,3,191736.7598055
1566,20062,7,7,2001,1483,1,1,1.0,2.0,690.0,4,170401.630997116
1567,9259,4,4,1950,756,1,2,1.0,2.0,440.0,6,164626.577880222
1568,17082,6,5,1992,1981,2,4,2.0,2.0,522.0,5,205469.409444832
1569,18600,3,4,1990,1610,2,4,0.0,1.0,480.0,6,209561.784211885
1570,11479,6,7,1987,1074,1,3,2.0,1.0,467.0,6,182271.503072356
1571,9350,4,6,1979,1531,1,3,1.0,1.0,209.0,6,178081.549427793
1572,9525,5,7,1998,1172,1,3,1.0,1.0,366.0,6,178425.956138831
1573,17485,7,5,2010,1508,1,1,2.0,2.0,572.0,1,162015.318511503
1574,11200,5,3,1964,1298,2,3,1.0,2.0,504.0,6,181722.420373045
1575,11980,7,5,1987,1433,1,1,2.0,2.0,528.0,6,156705.730169433
1576,12361,6,7,1993,1802,2,3,2.0,4.0,1017.0,5,182902.420342386
1577,7360,7,5,2010,1222,2,2,2.0,2.0,615.0,3,157574.595395085
1578,14235,6,8,1993,1445,2,3,1.0,2.0,484.0,3,184380.739100813
1579,11105,5,5,1996,965,1,2,1.0,2.0,580.0,7,169364.469225677
1580,9337,7,5,1998,1692,2,3,1.0,2.0,513.0,4,175846.179822063
1581,15240,5,8,2004,1026,1,3,1.0,1.0,308.0,6,189673.295302136
1582,7480,5,6,1972,876,1,3,1.0,2.0,484.0,6,174401.317715566
1583,10389,8,5,2003,1978,2,3,2.0,3.0,850.0,5,179021.448718583
1584,9375,7,5,1997,2098,2,4,2.0,2.0,621.0,4,189196.845337149
1585,4435,6,5,2003,848,1,1,2.0,2.0,420.0,4,139647.095720655
1586,8777,3,6,2007,640,1,2,1.0,1.0,240.0,4,161468.198288911
1587,8842,5,6,1954,992,1,3,1.0,1.0,319.0,1,171557.32317862
1588,10044,5,6,1968,1196,1,3,1.0,1.0,336.0,6,179447.36804185
1589,11792,4,5,1950,1120,1,2,0.0,2.0,480.0,6,169611.619017694
1590,6305,6,6,1975,1096,1,3,1.0,1.0,352.0,6,172088.872655744
1591,6410,4,5,1958,960,1,3,1.0,0.0,0.0,5,171190.624128768
1592,4853,5,6,1999,1296,2,2,0.0,1.0,260.0,5,154850.508361878
1593,7890,6,6,1950,856,1,2,1.0,2.0,399.0,3,158617.655719941
1594,7200,4,6,1967,2650,3,6,1.0,0.0,0.0,2,209258.33693701
1595,9839,5,2,1950,1666,1,3,1.0,0.0,0.0,5,177939.027626751
1596,10452,7,6,1985,2133,1,4,1.0,1.0,312.0,7,194631.100299584
1597,15600,5,6,1991,2177,2,5,1.0,2.0,484.0,3,213618.871562568
1598,19645,7,6,2007,1652,2,3,2.0,2.0,473.0,6,198342.504228533
1599,3907,8,6,1989,1034,1,1,2.0,2.0,598.0,4,138607.971472497
1600,3907,8,5,1989,1191,2,2,2.0,2.0,531.0,3,150778.958976731
1601,8154,2,5,1950,540,1,1,1.0,1.0,200.0,4,146966.230339786
1602,9140,6,5,1975,1107,1,2,1.0,1.0,625.0,4,162182.59620952
1603,8712,4,7,1950,952,1,3,1.0,1.0,330.0,6,176825.940961269
1604,3811,8,5,2005,1646,2,2,2.0,2.0,525.0,5,152799.812402444
1605,11050,8,5,1999,1916,2,3,2.0,3.0,741.0,5,180322.322067129
1606,9620,6,7,1977,1285,2,3,2.0,2.0,473.0,5,177508.027228367
1607,12760,6,5,1976,2048,3,5,1.0,2.0,776.0,3,208029.642652019
1608,11896,7,5,2008,1346,2,3,2.0,3.0,660.0,5,181987.282510201
1609,9803,7,5,2010,1214,2,2,2.0,2.0,520.0,1,160172.72797397
1610,9802,5,5,2007,1444,2,3,1.0,2.0,400.0,4,176761.317654248
1611,15300,5,5,1977,1264,1,2,1.0,2.0,528.0,6,176515.497545231
1612,10114,5,5,2005,1430,2,3,2.0,2.0,624.0,3,176270.453065471
1613,11875,5,5,1999,1344,2,3,1.0,2.0,686.0,6,183050.846258475
1614,2394,5,6,1973,945,1,2,1.0,1.0,253.0,5,150011.102062216
1615,1476,4,7,1970,1092,1,3,1.0,0.0,0.0,3,159270.537808667
1616,1900,4,4,1970,1092,1,3,1.0,0.0,0.0,6,163419.663729346
1617,1890,4,6,1972,1092,1,3,1.0,1.0,286.0,6,163399.983345859
1618,6953,5,7,2004,874,1,3,1.0,1.0,352.0,6,173364.161505756
1619,12887,5,7,1984,833,1,2,2.0,2.0,495.0,4,169556.835902417
1620,7700,5,2,1986,2432,4,4,1.0,2.0,616.0,2,183690.595995738
1621,10475,5,5,1991,1274,1,3,1.0,2.0,576.0,3,176980.914909382
1622,10544,5,5,1969,1479,2,5,1.0,1.0,275.0,4,204773.36222471
1623,9892,8,5,1995,1803,2,3,2.0,2.0,482.0,2,174728.655998442
1624,12961,6,5,1994,1797,2,3,2.0,2.0,616.0,3,181873.458244461
1625,13008,6,5,1956,882,1,2,1.0,1.0,502.0,10,177322.000823979
1626,10200,6,5,1974,1434,2,4,1.0,2.0,528.0,6,193927.939041863
1627,10179,6,5,1997,1608,2,3,1.0,2.0,470.0,7,181715.622732304
1628,11792,8,5,2003,2283,2,4,2.0,3.0,632.0,8,199270.841200324
1629,8400,7,5,1997,1628,2,3,1.0,2.0,390.0,6,177109.589956218
1630,7296,8,5,2005,2522,2,1,2.0,2.0,564.0,11,153909.578271486
1631,7380,8,5,1998,1478,2,2,1.0,2.0,495.0,7,162931.203336223
1632,8013,8,5,1996,1734,2,2,2.0,2.0,528.0,9,166386.7567182
1633,8923,7,5,1998,1382,2,3,1.0,2.0,396.0,2,173719.30379824
1634,7500,6,5,1999,1636,2,3,1.0,2.0,440.0,10,179757.925656704
1635,8803,6,5,1995,1516,2,3,2.0,2.0,409.0,7,179007.601964376
1636,7250,6,5,1993,1190,2,3,2.0,2.0,430.0,11,180370.808623106
1637,11900,5,6,1977,1934,2,3,1.0,2.0,567.0,7,185102.616730563
1638,13250,7,6,1978,2050,2,4,2.0,2.0,529.0,5,198825.563452058
1639,10928,6,6,1986,1671,2,3,1.0,2.0,484.0,8,184294.576009142
1640,12388,7,7,1991,2673,2,4,2.0,2.0,441.0,8,200443.7920562
1641,11088,6,5,1998,1707,2,3,1.0,2.0,479.0,5,181294.784484153
1642,7000,7,5,2003,1884,2,3,3.0,2.0,581.0,6,174354.336267919
1643,7500,8,5,2001,1874,2,3,2.0,2.0,588.0,3,172023.677781517
1644,8470,8,5,2002,1811,2,3,2.0,2.0,565.0,10,181666.922855025
1645,9373,5,7,1975,1621,2,3,1.0,2.0,478.0,6,179024.491269586
1646,10140,6,6,1974,1116,2,3,1.0,2.0,528.0,4,178324.191575907
1647,11050,7,5,1975,1193,2,3,1.0,2.0,506.0,8,184534.676687694
1648,7830,5,5,1970,1180,1,2,1.0,2.0,477.0,3,159397.250378784
1649,8510,5,7,1971,1050,1,3,1.0,1.0,336.0,7,178430.966728182
1650,7038,4,6,1970,864,1,3,1.0,2.0,576.0,9,177743.799385967
1651,9000,4,7,2006,864,1,3,1.0,2.0,576.0,7,179395.305519087
1652,1680,6,5,1973,987,1,2,1.0,1.0,264.0,7,151713.38474815
1653,1680,6,6,1972,987,1,2,1.0,1.0,288.0,7,151713.38474815
1654,2308,6,5,1976,1548,2,3,1.0,2.0,440.0,9,168434.977996215
1655,2280,7,5,1975,1055,2,2,1.0,2.0,440.0,8,153999.100311019
1656,2349,6,5,1977,1456,2,3,1.0,2.0,440.0,5,164096.097354123
1657,2364,6,5,1978,1548,2,3,1.0,2.0,440.0,7,166335.403036551
1658,2364,6,5,1978,1456,2,3,1.0,2.0,440.0,4,163020.725375757
1659,2104,7,6,1976,836,1,2,1.0,1.0,345.0,10,155862.510668829
1660,10710,5,7,2004,1120,1,3,1.0,2.0,656.0,7,182760.651095509
1661,14257,9,5,2007,2772,3,4,3.0,3.0,754.0,6,201912.270622883
1662,12350,9,5,2009,2690,2,3,3.0,3.0,864.0,7,185988.233987516
1663,12350,9,5,2008,2020,2,3,3.0,3.0,896.0,5,183778.44888032
1664,13693,10,5,2007,2674,2,2,3.0,3.0,762.0,3,170935.85921771
1665,11578,9,5,2008,1736,2,3,3.0,3.0,834.0,7,184468.908382254
1666,16870,8,5,2005,1782,2,3,2.0,3.0,932.0,4,191569.089663229
1667,23303,8,5,2007,2520,2,5,3.0,3.0,640.0,6,232991.025583822
1668,10367,9,5,2008,1743,2,3,3.0,3.0,927.0,6,180980.721388278
1669,10872,9,5,2006,1531,2,2,3.0,3.0,700.0,2,164279.13048219
1670,13514,9,5,2008,1808,2,3,3.0,3.0,850.0,3,183859.460411109
1671,12878,7,5,2004,1760,2,3,2.0,2.0,583.0,6,185922.465682076
1672,15274,9,5,2003,2452,2,3,3.0,3.0,886.0,7,191742.778119363
1673,13262,8,5,2004,2400,3,4,2.0,3.0,730.0,6,199954.072465842
1674,9658,8,5,2006,1606,2,3,2.0,3.0,871.0,7,180690.274752587
1675,6904,6,5,2005,1358,2,2,2.0,2.0,484.0,8,163099.3096358
1676,5122,6,5,2005,1306,2,1,2.0,2.0,624.0,3,140791.922472443
1677,10307,7,5,2008,1358,2,2,2.0,2.0,484.0,5,166481.86647592
1678,14836,10,5,2005,2492,2,2,3.0,3.0,949.0,2,172080.434496773
1679,15262,8,5,2004,2200,2,3,3.0,3.0,685.0,7,191719.161659178
1680,7390,9,5,2009,1884,2,2,3.0,2.0,649.0,5,160741.098612515
1681,6472,9,5,2008,1456,2,2,3.0,2.0,539.0,4,157829.546854733
1682,16770,8,5,2003,1712,2,3,2.0,3.0,701.0,9,196896.748596341
1683,3480,7,5,2003,1405,2,2,2.0,2.0,478.0,11,159675.423990355
1684,10928,7,5,2005,1456,2,3,2.0,2.0,390.0,6,182084.790901946
1685,8918,6,5,2006,1490,2,3,2.0,2.0,392.0,7,179233.926374487
1686,3182,7,5,2006,1220,2,2,2.0,2.0,397.0,8,155774.270901623
1687,9434,7,5,2005,1374,2,3,2.0,2.0,400.0,8,181354.326716058
1688,7984,7,5,2005,1630,2,3,2.0,2.0,436.0,9,179605.563663918
1689,10125,7,5,2004,1594,2,3,2.0,2.0,434.0,7,181609.34866147
1690,8965,7,5,2003,1489,2,3,2.0,2.0,400.0,6,178221.531623281
1691,8174,7,5,2003,1342,2,3,2.0,2.0,393.0,5,175559.920735795
1692,12891,8,5,2002,2004,2,4,2.0,3.0,644.0,7,200328.822792041
1693,9734,7,5,2004,1374,2,3,2.0,2.0,400.0,5,178630.060559899
1694,8433,6,5,2000,1514,2,3,1.0,2.0,394.0,6,177174.535221728
1695,7750,7,5,2000,1430,2,3,1.0,2.0,400.0,3,172515.687368714
1696,15896,7,5,1999,2312,2,4,2.0,3.0,658.0,5,204032.992922943
1697,7848,7,6,1999,1430,2,3,1.0,2.0,410.0,6,176023.232787689
1698,12720,8,5,2000,2687,2,4,2.0,3.0,810.0,9,202202.073341595
1699,10750,8,5,1995,2063,2,3,2.0,3.0,815.0,6,181734.480075862
1700,9085,7,5,1996,2061,2,3,2.0,2.0,647.0,11,183982.158993126
1701,11692,8,5,1994,2232,2,3,2.0,2.0,623.0,10,188007.94241481
1702,11194,8,5,2008,1696,2,3,2.0,3.0,972.0,9,185922.966763517
1703,10206,8,5,2008,1658,2,3,2.0,3.0,726.0,9,183978.544874918
1704,10130,8,5,2007,1702,2,3,2.0,3.0,844.0,3,177199.618638821
1705,9139,8,5,2006,1432,2,3,2.0,2.0,492.0,9,181878.647956764
1706,11128,9,5,2006,2490,2,2,3.0,3.0,795.0,10,173622.088728263
1707,7993,7,5,2009,1436,2,3,2.0,2.0,529.0,10,180728.168562655
1708,8640,7,5,2008,1402,2,3,2.0,2.0,625.0,5,176477.026606328
1709,12606,9,5,2008,1530,2,3,2.0,3.0,984.0,5,184282.266697609
1710,7500,8,5,2007,1448,2,2,2.0,2.0,692.0,6,162062.47538448
1711,10603,8,5,2006,1795,2,3,2.0,3.0,782.0,7,182550.070992189
1712,8125,8,5,2009,1836,2,3,2.0,2.0,517.0,10,180987.949624695
1713,10625,7,5,2007,1662,2,3,3.0,3.0,711.0,3,178173.79762147
1714,8736,7,5,2004,1553,2,3,2.0,2.0,588.0,8,179980.635948606
1715,8127,7,5,2003,1653,2,3,2.0,2.0,628.0,3,173257.637826205
1716,9605,7,6,2007,1218,1,3,2.0,2.0,576.0,4,177271.291059307
1717,7500,7,5,2006,1141,1,3,2.0,2.0,484.0,6,175338.355442312
1718,7500,6,5,2004,1158,1,3,2.0,0.0,0.0,8,177548.140549508
1719,10628,7,5,2004,1812,2,3,2.0,2.0,478.0,1,175969.91662932
1720,10141,8,5,2004,1512,2,3,2.0,3.0,845.0,1,175011.481953462
1721,13072,7,5,2005,1114,1,3,2.0,2.0,576.0,5,185199.372568143
1722,13072,5,5,2004,1114,1,3,2.0,0.0,0.0,8,188514.050228937
1723,12450,5,5,2004,1114,2,3,2.0,2.0,576.0,6,185080.145268797
1724,7328,7,5,2009,1450,2,2,2.0,3.0,788.0,2,157304.402574096
1725,11492,7,5,1997,2122,2,4,2.0,2.0,559.0,4,194260.859481297
1726,7703,6,6,1992,1730,2,3,2.0,2.0,528.0,11,181262.329995106
1727,7175,6,5,1991,1332,2,2,2.0,2.0,542.0,2,157003.292706732
1728,9109,7,5,1994,1540,2,3,2.0,2.0,495.0,10,182924.499359899
1729,10274,6,7,1986,1400,2,3,1.0,2.0,465.0,7,181902.586375439
1730,8250,6,7,1981,1882,2,4,1.0,2.0,612.0,5,188985.371708134
1731,9750,5,5,1962,980,1,3,1.0,2.0,400.0,11,185290.904495068
1732,8499,5,6,1961,864,1,3,1.0,2.0,732.0,6,177304.425752748
1733,9079,5,5,1961,864,1,2,1.0,1.0,440.0,7,166274.900490809
1734,9316,5,5,1965,1020,2,3,1.0,1.0,288.0,5,177807.420530107
1735,7791,5,8,1995,912,1,3,2.0,1.0,300.0,10,180330.624816201
1736,7150,5,6,1962,912,1,3,1.0,1.0,252.0,10,179069.112234629
1737,15676,8,8,1980,2014,2,2,2.0,3.0,864.0,4,175943.371816948
1738,11949,7,8,2008,1755,2,3,2.0,2.0,524.0,7,185199.050609653
1739,2880,7,5,2005,3005,2,3,2.0,3.0,704.0,7,167350.910824524
1740,3830,6,5,2008,1726,2,2,2.0,2.0,561.0,1,149315.311876449
1741,4217,6,5,2008,1256,1,1,2.0,2.0,641.0,3,139010.847766793
1742,2998,6,5,2000,1512,2,2,2.0,2.0,440.0,8,155412.151845447
1743,3768,7,5,1999,1452,2,3,2.0,2.0,506.0,9,171308.313985441
1744,14694,8,9,2008,1694,2,2,3.0,2.0,642.0,6,176220.543265638
1745,15417,7,5,1981,1740,1,2,2.0,2.0,540.0,6,177643.434991809
1746,9600,8,5,1976,2499,2,4,1.0,2.0,527.0,1,187222.653264601
1747,12732,7,6,1974,2067,2,3,2.0,2.0,784.0,6,185635.132083154
1748,10400,6,7,1997,2640,2,5,2.0,2.0,515.0,5,206492.534215854
1749,9600,5,5,1969,1336,2,3,1.0,2.0,502.0,8,181681.021081956
1750,9000,6,5,1969,1216,1,3,1.0,1.0,336.0,8,180500.198072685
1751,13774,7,7,1992,2288,1,4,2.0,2.0,520.0,11,206486.17086841
1752,7130,5,6,1967,864,1,2,1.0,1.0,312.0,6,161334.301195429
1753,9600,5,5,1967,1568,1,3,1.0,2.0,440.0,3,176156.558313965
1754,9600,7,5,1974,2061,2,4,1.0,2.0,498.0,5,191642.223478994
1755,16500,6,5,1971,1320,2,3,1.0,2.0,495.0,5,191945.808027777
1756,7436,4,7,1960,894,1,2,1.0,2.0,396.0,8,164146.306037354
1757,8125,5,7,1959,864,1,3,1.0,1.0,308.0,9,179883.057071096
1758,9450,4,5,1957,1362,1,3,1.0,3.0,768.0,5,178071.137668844
1759,13495,5,6,1956,1728,2,3,1.0,2.0,576.0,7,188241.637896875
1760,9350,5,6,1995,1313,1,3,2.0,2.0,610.0,2,174559.656173171
1761,10500,5,5,1964,1292,1,3,1.0,2.0,520.0,7,182347.363042264
1762,8970,5,6,1965,2140,2,4,1.0,2.0,549.0,6,191507.251872857
1763,11475,6,6,1961,1576,1,4,2.0,2.0,368.0,9,199751.865597358
1764,9768,5,5,1955,960,1,2,1.0,1.0,330.0,2,162106.416145131
1765,9900,6,5,1967,1691,1,2,1.0,2.0,550.0,4,164575.982314367
1766,10573,6,6,1961,1453,2,3,1.0,2.0,530.0,4,179176.352180931
1767,14695,6,8,2008,1567,2,2,2.0,2.0,542.0,7,177327.403857584
1768,8760,5,7,1956,1144,1,3,1.0,1.0,286.0,6,177818.083761781
1769,12285,7,6,1960,1329,1,3,1.0,2.0,441.0,8,186965.204048443
1770,9240,6,8,1998,988,2,3,2.0,1.0,297.0,6,178762.742169197
1771,8750,5,5,1956,1202,1,3,1.0,1.0,304.0,11,183322.866146283
1772,8750,5,5,1955,1382,1,3,2.0,1.0,350.0,7,178903.295931891
1773,10400,4,5,1956,1200,1,3,1.0,1.0,294.0,11,186570.129421778
1774,9482,5,4,1958,1866,2,4,1.0,2.0,495.0,12,199144.242829024
1775,8128,6,7,1954,1062,1,3,1.0,1.0,297.0,2,172154.713310956
1776,13070,5,5,1951,1112,1,2,1.0,2.0,480.0,10,177444.019201603
1777,8480,5,6,1950,793,1,2,0.0,1.0,240.0,8,166200.938073485
1778,7626,5,8,2005,1031,1,2,2.0,1.0,230.0,3,158995.770555632
1779,9533,5,5,1953,1210,1,2,1.0,1.0,616.0,8,168273.282454755
1780,11419,7,7,1999,1527,1,3,1.0,2.0,410.0,12,189680.453052788
1781,9600,5,6,1950,1200,1,3,1.0,1.0,246.0,8,181681.021081956
1782,5470,3,5,1958,792,1,2,1.0,1.0,366.0,8,160277.142643643
1783,10800,5,7,2006,1352,2,4,2.0,2.0,720.0,8,197318.54715833
1784,8146,4,8,2003,1039,1,2,1.0,1.0,281.0,5,162228.935604196
1785,10230,5,7,1950,1078,1,3,3.0,1.0,264.0,12,187340.455456083
1786,10410,4,5,1950,2377,2,3,2.0,2.0,528.0,6,181065.347037275
1787,7200,7,9,2008,1690,2,4,2.0,2.0,624.0,8,190233.609102705
1788,5400,2,5,1950,599,1,2,2.0,0.0,0.0,6,157929.594852031
1789,10800,5,7,1950,846,1,2,2.0,2.0,576.0,6,168557.001935469
1790,10800,3,5,1998,725,1,1,1.0,1.0,320.0,11,160805.584645628
1791,9671,6,5,1969,2544,2,6,1.0,3.0,907.0,8,221648.391978216
1792,10143,6,7,1963,1380,1,3,1.0,1.0,364.0,6,180539.88079815
1793,11500,6,4,1967,1040,1,3,1.0,2.0,480.0,5,182105.616283853
1794,8010,6,9,2007,951,1,2,2.0,2.0,480.0,9,166380.852603154
1795,10454,6,6,1957,1105,1,3,1.0,1.0,308.0,4,178942.155617426
1796,9000,6,6,1958,1142,1,2,1.0,1.0,384.0,4,162804.747800461
1797,8064,6,5,1950,1133,1,3,1.0,2.0,900.0,12,183077.684392615
1798,7350,5,6,1958,1041,1,3,1.0,1.0,294.0,3,171728.4720292
