Id,LotArea,OverallQual,OverallCond,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,MoSold
46,7658,9,5,2005,1752,2,2,3,2,576,2
47,12822,7,5,2003,2149,1,1,2,2,670,8
48,11096,8,5,2006,1656,2,3,2,3,826,7
49,4456,4,5,2008,1452,2,2,1,0,0,6
50,7742,5,7,1966,955,1,3,1,1,386,1
51,13869,6,6,1997,1470,2,3,1,2,388,7
52,6240,6,6,1950,1176,1,3,1,2,528,9
53,8472,5,5,1963,816,1,2,1,2,516,5
54,50271,9,5,1987,1842,0,0,2,3,894,11
55,7134,5,5,1955,1360,1,3,1,2,572,2
56,10175,6,5,1964,1425,2,3,1,2,576,7
57,2645,8,5,2000,1739,2,3,2,2,480,8
58,11645,7,5,2004,1720,2,3,2,2,565,8
59,13682,10,5,2006,2945,3,3,2,3,641,10
60,7200,5,7,1972,780,1,2,1,1,352,1
61,13072,6,5,2004,1158,1,3,2,2,576,5
62,7200,5,7,1996,1111,1,3,0,1,288,3
63,6442,8,5,2006,1370,2,2,2,2,484,10
64,10300,7,6,1950,1710,2,3,1,2,480,4
65,9375,7,5,1998,2034,2,3,2,2,645,2
66,9591,8,5,2005,2473,2,4,2,3,852,10
67,19900,7,5,1989,2207,2,3,1,2,576,7
68,10665,7,5,2003,1479,2,3,2,2,558,6
69,4608,4,6,1950,747,1,2,1,1,220,6
70,15593,7,4,1953,2287,2,3,1,2,667,7
71,13651,7,6,1973,2223,2,3,1,2,516,2
72,7599,4,6,2006,845,1,2,1,2,360,6
73,10141,7,5,1998,1718,2,3,1,2,427,12
74,10200,5,7,2003,1086,1,3,1,2,490,5
75,5790,3,6,1950,1605,2,3,1,1,379,5
76,1596,4,5,1973,988,1,2,1,1,297,11
77,8475,4,7,1956,952,1,2,1,1,283,4
78,8635,5,5,2001,1285,1,2,1,1,240,1
79,10778,4,5,1968,1768,2,4,1,0,0,4
80,10440,5,6,1981,1230,1,2,1,2,440,5
81,13000,6,6,1968,2142,2,4,2,1,509,6
82,4500,6,5,1998,1337,2,2,1,2,405,3
83,10206,8,5,2007,1563,2,3,2,3,758,10
84,8892,5,5,1960,1065,1,3,1,2,461,7
85,8530,7,5,1996,1474,2,3,1,2,400,5
86,16059,8,5,1992,2417,2,4,2,2,462,4
87,11911,6,5,2005,1560,2,3,2,2,400,3
88,3951,6,5,2009,1224,2,2,2,2,528,6
89,8470,3,2,1982,1526,1,2,0,0,0,10
90,8070,4,5,1995,990,1,3,1,0,0,8
91,7200,4,5,1950,1040,1,2,1,2,420,7
92,8500,5,3,1961,1235,1,2,1,2,480,12
93,13360,5,7,2006,964,1,2,1,2,432,8
94,7200,6,6,1998,2291,2,4,1,2,506,11
95,9337,6,5,1997,1786,2,3,2,2,684,5
96,9765,6,8,1993,1470,2,3,1,2,420,4
97,10264,7,5,1999,1588,2,3,2,2,472,8
98,10921,4,5,1965,960,1,3,1,1,432,5
99,10625,5,5,1950,835,1,2,1,1,366,5
100,9320,4,5,1959,1225,1,3,1,0,0,1
101,10603,6,7,2001,1610,2,3,2,2,480,2
102,9206,6,5,1985,1732,2,3,2,2,476,6
103,7018,5,5,1979,1535,2,4,1,2,410,6
104,10402,7,5,2009,1226,2,3,2,3,740,5
105,7758,7,4,1950,1818,1,4,1,1,240,6
106,9375,8,5,2004,1992,2,3,2,2,648,8
107,10800,4,7,1995,1047,1,2,1,1,273,8
108,6000,5,5,1950,789,1,2,1,1,250,4
109,8500,5,7,2005,1517,2,3,0,0,0,8
110,11751,6,6,1977,1844,2,3,1,2,546,1
111,9525,6,4,1972,1855,2,4,1,1,325,10
112,7750,7,5,2000,1430,2,3,1,2,400,4
113,9965,7,5,2007,2696,2,4,3,3,792,10
114,21000,6,5,1953,2259,2,3,2,2,450,10
115,7259,6,8,2002,2320,2,3,2,1,180,7
116,3230,6,5,1999,1458,2,2,1,2,440,6
117,11616,5,5,1962,1092,1,3,1,1,288,9
118,8536,5,5,2007,1125,1,2,1,2,430,4
119,12376,7,5,1990,3222,3,5,2,3,594,5
120,8461,6,5,2006,1456,2,3,2,2,390,7
121,21453,6,5,1969,988,1,1,1,2,540,10
122,6060,4,5,1950,1123,1,3,1,1,264,6
123,9464,6,7,1958,1080,1,3,1,1,288,6
124,7892,6,5,1993,1199,2,2,2,2,530,3
125,17043,6,5,1998,1586,2,3,1,2,435,1
126,6780,6,8,1982,754,1,2,1,0,0,6
127,4928,6,5,1976,958,2,2,1,2,440,2
128,4388,5,7,1950,840,1,3,1,0,0,6
129,7590,6,5,1966,1348,1,3,1,2,453,7
130,8973,5,7,1991,1053,1,3,3,2,750,7
131,14200,7,6,1966,2157,2,4,2,2,487,5
132,12224,6,5,2000,2054,2,3,2,2,390,7
133,7388,5,6,2002,1327,1,3,2,2,624,7
134,6853,8,5,2002,1296,2,2,2,2,471,6
135,10335,5,6,1993,1721,2,3,1,2,440,7
136,10400,7,6,1970,1682,2,3,1,2,530,5
137,10355,5,5,1967,1214,2,3,1,1,318,7
138,11070,7,5,1989,1959,3,5,1,3,766,7
139,9066,8,5,2000,1852,2,3,2,3,660,12
140,15426,6,5,1997,1764,2,3,2,2,470,8
141,10500,4,5,1971,864,1,3,1,0,0,4
142,11645,7,5,2005,1734,2,3,2,2,660,1
143,8520,5,4,1952,1385,2,4,1,2,720,6
144,10335,7,5,1999,1501,2,3,2,2,577,6
145,9100,5,5,1963,1728,2,6,1,2,504,11
146,2522,6,5,2006,1709,2,3,2,2,380,4
147,6120,5,7,1993,875,1,2,1,1,180,11
148,9505,7,5,2001,2035,2,3,2,2,434,5
149,7500,7,5,2005,1080,1,3,2,0,0,4
150,6240,5,4,1950,1344,1,3,1,1,240,4
151,10356,5,6,1975,969,1,3,1,2,440,1
152,13891,8,5,2008,1710,2,2,2,3,866,1
153,14803,6,5,1971,1993,2,4,1,2,495,6
154,13500,6,7,1975,1252,1,1,1,2,564,3
155,11340,6,5,1950,1200,1,4,1,1,312,3
156,9600,6,5,1950,1096,1,2,1,0,0,4
157,7200,5,7,1950,1040,1,2,1,2,625,6
158,12003,8,5,2010,1968,2,4,3,3,680,5
159,12552,7,5,2005,1947,2,3,2,2,678,5
160,19378,7,5,2006,2462,2,4,2,2,576,3
161,11120,6,6,1984,1232,2,3,1,2,516,6
162,13688,9,5,2004,2668,2,3,3,3,726,3
163,12182,7,5,2005,1541,2,3,2,2,532,5
164,5500,4,6,1956,882,1,1,1,0,0,4
165,5400,6,7,2004,1616,2,3,2,1,216,10
166,10106,5,7,1999,1355,2,4,1,0,0,9
167,10708,5,5,1993,1867,1,2,1,1,303,11
168,10562,8,5,2007,2161,1,3,3,3,789,11
169,8244,7,5,2004,1720,2,3,2,2,440,5
170,16669,8,6,1981,1707,2,2,1,2,511,1
171,12358,5,6,1950,1382,1,2,1,2,660,5
172,31770,6,5,1960,1656,1,3,1,2,528,5
173,5306,7,7,1987,1767,2,2,2,2,504,6
174,10197,6,5,1961,1362,1,3,1,2,504,6
175,12416,6,5,1986,1651,2,3,1,2,616,11
176,12615,6,7,2001,2158,2,4,2,2,576,6
177,10029,6,5,1989,2060,2,4,1,2,521,9
178,13650,5,5,1958,1920,2,4,2,2,451,7
179,17423,9,5,2009,2234,2,1,3,3,1166,7
180,8520,5,6,2006,968,1,2,1,2,480,7
181,2117,6,5,2000,1525,2,3,2,2,440,6
182,7588,7,6,1950,1802,1,4,1,1,216,7
183,9060,5,6,2006,1340,1,3,1,1,252,6
184,11426,7,5,2003,2082,2,3,2,2,484,6
185,7438,5,8,1991,1252,1,3,1,2,576,6
186,22950,10,9,1993,3608,2,4,3,3,840,6
187,9947,7,5,1991,1217,2,3,2,2,497,6
188,10410,5,7,1987,1656,2,3,1,1,180,8
189,7018,5,5,1979,1224,0,2,1,2,528,6
190,4923,8,5,2002,1593,1,0,3,2,682,8
191,10570,8,8,1994,2727,2,3,2,2,440,12
192,7472,7,9,2004,1479,1,4,2,2,484,6
193,9017,7,5,1999,1431,2,3,2,2,666,9
194,2522,7,5,2004,1709,2,3,2,2,380,5
195,7180,5,7,1972,864,1,3,1,1,352,5
196,2280,6,6,1976,1456,2,3,1,2,440,7
197,9416,7,5,2007,1726,2,3,3,3,786,9
198,25419,8,4,1990,3112,2,4,2,2,795,3
199,5520,6,6,1950,2229,1,5,1,0,0,7
200,9591,8,5,2005,1713,2,3,3,3,856,1
201,8546,4,5,2004,1121,2,2,1,2,440,3
202,10125,6,6,1977,1279,2,3,1,2,473,2
203,7000,6,6,1950,1310,2,2,1,1,398,5
204,4438,6,5,2004,848,1,1,2,2,420,1
205,3500,5,7,1950,1284,1,2,1,1,240,4
206,11851,7,5,1990,1442,2,3,1,2,500,5
207,13673,5,5,1962,1696,1,3,1,1,349,3
208,12493,4,5,1960,1100,1,3,1,1,312,4
209,14364,7,5,1989,2062,2,3,1,2,454,4
210,8250,6,7,1964,1092,1,3,1,2,504,7
211,5604,5,6,1950,864,1,2,1,0,0,4
212,10420,6,5,2009,1212,2,3,2,2,460,3
213,8640,7,5,2009,1852,2,3,2,2,644,7
214,13568,5,5,1995,990,1,3,1,2,576,7
215,10900,6,7,1977,1392,1,3,1,1,299,3
216,10011,5,6,1996,1236,1,2,2,1,447,5
217,8450,7,5,2004,1436,2,3,2,2,484,4
218,9906,4,4,1950,1328,1,3,1,1,210,9
219,15660,7,9,2006,1954,1,3,2,2,431,5
220,3010,7,5,2006,1248,2,2,2,2,438,3
221,8990,7,5,2006,1498,2,2,2,2,675,4
222,8068,6,5,2002,2267,2,4,2,2,390,12
223,11475,6,6,1975,1552,2,3,1,2,434,2
224,10500,4,6,1971,864,1,2,1,2,576,3
225,13472,10,5,2003,2392,2,3,3,3,968,6
226,1680,5,5,1971,1302,2,3,1,1,280,5
227,9950,7,5,1995,2520,2,4,2,3,721,6
228,1869,6,6,1970,987,1,2,1,1,280,9
229,8521,5,5,1967,912,1,3,1,1,336,5
230,3182,7,5,2006,1555,2,2,2,2,430,5
231,8760,6,6,1959,1194,1,3,1,1,312,4
232,15138,8,5,1996,2794,2,4,3,3,810,7
233,1680,6,5,1972,987,1,2,1,1,288,6
234,10650,5,6,1976,894,1,3,1,1,308,2
235,7851,6,5,2002,1960,2,4,2,2,440,5
236,1680,6,3,1971,987,1,2,1,1,264,8
237,8773,7,5,2004,1414,2,3,2,2,494,5
238,9453,7,7,2003,1744,2,3,2,2,457,2
239,12030,8,5,2007,1694,2,3,2,3,818,12
240,8741,6,4,1950,1487,1,3,1,1,220,4
241,9000,8,5,2008,1566,2,3,2,2,750,4
242,3880,5,9,1997,866,1,2,2,0,0,8
243,5000,5,4,1950,1440,1,3,1,1,352,4
244,10762,6,6,1980,1217,1,3,1,1,288,4
245,8880,7,5,2002,2110,2,3,2,2,463,5
246,10400,7,5,1988,1872,2,3,1,2,604,6
247,9142,6,8,1950,1928,2,4,0,1,440,4
248,11310,6,5,1954,1375,1,2,1,2,451,6
249,11317,7,5,2003,1668,2,3,2,2,500,9
250,159000,6,7,2006,2144,2,4,2,2,389,6
251,5350,3,2,1966,1306,1,3,0,0,0,5
252,4750,8,5,2007,1625,2,2,2,2,538,12
253,8366,6,5,2004,1640,2,3,2,2,520,12
254,9350,6,7,1991,1302,2,3,2,1,309,10
255,8400,5,6,1957,1314,1,3,1,1,294,6
256,8738,7,5,1999,2291,2,4,2,2,429,2
257,8791,6,5,2003,1728,2,3,2,2,673,5
258,8814,7,5,2006,1604,2,3,2,2,660,3
259,12435,7,5,2001,1792,2,3,2,2,564,5
260,12702,5,5,1956,882,1,2,1,1,308,12
261,19296,6,5,1962,1382,1,3,1,2,884,5
262,9588,8,5,2007,2574,2,3,3,3,868,11
263,8471,6,7,1995,1212,1,3,1,2,492,7
264,5500,5,7,2001,1316,1,3,1,2,484,4
265,5232,5,5,2004,764,1,2,1,2,504,6
266,12090,6,6,1981,1422,2,3,2,2,576,6
267,11207,6,5,1997,1511,2,3,1,2,413,6
268,8400,5,8,1997,2192,2,4,2,1,240,7
269,6900,5,6,1955,778,1,2,1,1,924,2
270,7917,6,7,1976,1113,1,3,1,1,504,5
271,10728,8,5,2006,1939,2,3,2,3,1053,8
272,39104,7,7,2005,1363,1,2,1,2,439,4
273,11764,8,7,2007,2270,2,4,2,3,671,4
274,9600,6,6,1988,1632,2,3,1,1,338,4
275,8314,5,7,1982,816,1,2,1,1,264,6
276,7264,7,7,2007,1548,2,3,3,2,672,10
277,9196,7,5,2003,1560,2,3,2,2,573,4
278,19138,4,5,1951,864,1,2,1,2,400,6
279,14450,9,5,2007,2121,2,3,3,3,732,5
280,10005,7,5,1977,2022,2,4,1,2,505,3
281,11287,7,6,1989,1982,2,3,2,2,575,1
282,7200,6,5,2006,1262,2,2,2,2,572,5
283,5063,7,5,2008,1314,2,2,2,2,626,4
284,9612,8,5,2009,1468,2,3,2,3,898,12
285,8012,6,5,1992,1575,2,2,2,2,529,7
286,4251,7,5,2007,1250,2,2,2,2,528,6
287,9786,6,7,1981,1734,1,3,2,2,440,6
288,8125,4,4,1971,858,1,3,1,0,0,6
289,9819,5,5,1967,900,1,3,1,1,280,2
290,8730,6,7,2003,1396,1,3,1,1,384,7
291,15611,8,5,2006,1919,2,3,2,2,685,7
292,5687,5,6,2000,1716,2,6,0,0,0,3
293,11409,5,4,2008,1716,1,3,1,1,281,1
294,16659,7,7,1994,2263,2,3,2,2,539,3
295,9600,6,5,1953,1644,1,3,1,2,418,10
296,7937,6,6,1984,1003,1,3,1,2,588,3
297,13710,5,5,1950,1558,1,4,1,1,282,6
298,7399,7,5,1998,1950,2,3,2,2,576,6
299,11700,6,6,1968,1743,1,3,1,2,539,6
300,14000,6,8,2004,1152,1,3,2,1,300,8
301,15750,5,5,1953,1336,1,2,1,1,375,6
302,16226,8,5,1999,2452,2,4,2,2,683,5
303,13704,7,5,2002,1541,2,3,2,3,843,1
304,9800,5,7,1972,894,1,3,1,2,552,7
305,18386,7,9,2002,3493,3,3,2,3,870,5
306,10386,8,5,2005,2000,2,3,2,3,888,7
307,13474,7,5,1991,2243,2,4,2,3,746,6
308,7920,6,7,1950,1406,1,3,0,0,0,3
309,12342,4,5,1950,861,1,1,1,2,539,3
310,12378,9,5,2004,1944,2,3,3,3,708,11
311,7685,6,5,1994,1501,2,3,2,2,420,5
312,8000,6,6,2002,972,1,2,1,1,240,5
313,7800,5,7,1950,1118,1,3,1,2,410,5
314,215245,7,5,1965,2036,2,3,1,2,513,6
315,9600,7,7,1990,1641,1,3,3,2,546,8
316,7795,7,5,2005,1432,2,3,2,2,432,7
317,13005,7,7,1980,2353,2,4,3,2,484,8
318,9000,8,5,2006,1959,2,3,2,3,1025,12
319,9900,7,5,1993,2646,2,4,2,3,656,4
320,14115,7,5,1980,1472,2,3,1,2,588,6
321,16259,9,5,2006,2596,3,4,2,3,840,9
322,12099,8,5,2004,2468,2,4,2,3,872,6
323,10380,7,5,1987,2730,2,4,2,2,576,8
324,5820,3,8,2005,1163,1,3,1,1,220,7
325,11275,7,7,2007,2978,2,5,2,2,564,6
326,5000,5,6,1950,803,1,2,1,2,360,12
327,10846,8,5,1993,1719,1,1,2,2,473,5
328,11600,6,5,1960,1383,1,3,1,1,292,4
329,11888,6,6,1994,2134,2,5,2,2,441,7
330,6402,5,5,1950,1192,1,3,1,1,189,7
331,10624,5,4,1964,1728,2,6,1,1,352,11
332,8176,5,6,1992,1056,1,3,1,1,308,8
333,10655,8,5,2004,1629,2,3,2,3,880,10
334,8198,7,5,2004,1358,2,2,2,2,484,7
335,9042,6,5,1998,1638,2,3,1,2,472,7
336,164660,5,6,1965,1786,2,3,1,2,529,8
337,14157,9,5,2006,1922,2,3,2,3,676,7
338,9135,7,5,2003,1536,2,3,2,2,532,12
339,14145,7,7,1998,1621,2,3,2,2,440,5
340,12400,6,7,1998,1215,1,3,1,1,297,6
341,14191,8,5,2002,1908,2,4,2,2,431,4
342,8400,4,4,1950,841,1,2,1,1,294,9
343,8544,3,4,1950,1040,2,2,1,2,400,5
344,8849,9,5,2005,1684,2,2,3,2,564,7
345,2592,5,3,1976,1112,1,3,1,1,336,4
346,6435,6,5,1950,1577,1,3,0,1,312,10
347,12772,6,8,1998,958,1,2,1,1,301,4
348,17600,6,5,1960,1478,2,3,1,2,498,12
349,2448,7,5,2004,1626,2,2,2,2,474,10
350,20431,9,5,2006,2728,2,4,3,3,706,4
351,7820,9,5,2007,1869,2,2,3,2,617,12
352,5271,7,5,1986,1453,1,2,2,2,445,12
353,9084,5,6,1950,1111,1,3,1,1,200,3
354,8520,6,8,2003,720,1,2,1,2,484,5
355,8400,6,5,2000,1595,1,2,1,1,240,6
356,11249,6,5,1995,1200,2,3,2,2,521,8
357,9248,6,6,1992,1167,2,3,2,2,400,7
358,4224,5,5,1976,1142,1,3,1,2,528,8
359,6930,5,4,1958,1352,1,3,2,1,288,7
360,12011,8,5,1998,1924,2,3,2,2,592,6
361,7540,6,6,1978,912,1,2,1,2,470,6
362,9144,5,5,1982,1505,1,3,1,1,240,7
363,7301,7,5,2003,1922,3,4,2,2,672,7
364,1680,6,8,2007,987,1,2,2,1,264,5
365,18800,6,5,1976,1574,2,3,1,2,566,7
366,10690,5,7,1997,1344,1,3,1,1,468,7
367,9500,6,5,1963,1394,1,3,1,2,514,7
368,9150,6,5,1962,1431,1,3,1,1,296,12
369,7800,5,6,1954,1268,1,2,1,1,244,3
370,9830,5,7,2006,1287,1,3,2,2,576,3
371,8121,6,5,2000,1664,2,3,1,2,460,1
372,17120,4,4,1959,1588,2,4,1,2,680,7
373,7175,6,5,1984,752,1,2,1,1,264,2
374,10634,5,6,1953,1319,1,3,1,1,270,11
375,8200,7,5,2004,1928,2,4,2,2,434,7
376,10020,1,1,1950,904,0,1,0,0,0,3
377,8846,5,5,1996,914,1,2,1,2,576,7
378,11143,8,5,2005,2466,3,4,2,2,610,12
379,11394,9,2,2010,1856,1,1,3,3,834,6
380,8123,6,5,2000,1800,2,3,1,2,463,6
381,5000,5,6,1950,1691,2,3,2,1,308,5
382,7200,7,5,2006,1301,2,2,2,2,572,8
383,9245,7,5,2006,1797,2,3,2,2,639,4
384,9000,6,3,1950,784,1,2,1,2,360,10
385,53107,6,5,1992,1953,2,3,2,2,501,6
386,3182,8,5,2005,1269,2,2,2,2,430,4
387,8410,5,3,1996,1184,1,5,1,0,0,5
388,7200,6,6,1976,1125,1,3,1,1,352,10
389,9382,7,5,2000,1479,2,3,2,2,577,7
390,12474,10,5,2008,2332,2,3,3,3,846,8
391,8405,5,8,1950,1367,1,4,1,1,384,4
392,12209,6,5,2002,1961,2,3,2,2,560,6
393,8339,5,7,1959,882,1,3,1,1,294,7
394,7446,4,5,1950,788,1,2,1,0,0,4
395,10134,5,6,1950,1034,1,2,1,1,240,7
396,9571,5,6,1956,1144,1,3,1,1,596,6
397,7200,5,5,1972,894,1,2,1,2,600,9
398,7590,5,5,1962,1812,2,4,1,1,264,7
399,8967,5,2,1950,1077,1,2,1,1,338,11
400,8125,7,5,2007,1550,2,2,2,2,438,10
401,14963,8,5,1996,1288,1,1,3,2,500,12
402,8767,7,5,2005,1310,2,3,2,2,400,7
403,10200,5,8,1997,672,1,2,1,1,240,8
404,12090,8,5,1998,2263,2,4,2,2,420,7
405,10364,6,5,1996,1572,2,3,1,2,373,5
406,9991,4,4,1993,1620,2,3,1,2,490,6
407,10480,6,5,1950,1639,1,3,1,1,240,3
408,15576,6,7,1976,1680,2,4,1,1,308,3
409,14154,7,5,2006,2172,2,3,2,3,947,8
410,10800,8,5,2008,2078,2,3,3,3,836,4
411,9571,5,3,1958,1276,1,3,1,1,350,6
412,34650,5,5,1955,1056,1,3,1,2,572,1
413,4403,7,5,2009,1478,2,2,2,2,484,6
414,8960,5,6,1950,1028,1,2,1,2,360,3
415,11228,7,5,1993,2097,2,3,2,3,678,12
416,8899,7,5,2007,1340,2,3,2,2,396,8
417,7844,6,7,1978,1400,1,3,1,2,440,3
418,22420,6,6,1950,2624,2,4,1,3,864,11
419,8160,5,6,1950,1134,1,3,1,1,240,4
420,8450,5,6,1968,1056,1,3,1,1,304,7
421,7060,7,5,1998,1344,2,2,1,4,784,11
422,16635,6,7,2000,1602,2,3,2,2,529,6
423,21750,5,5,1954,988,1,2,1,2,520,2
424,9200,8,5,1998,2630,2,4,2,3,696,6
425,9000,6,5,1956,1196,1,2,1,1,297,5
426,3378,7,8,1992,1389,1,3,1,1,240,9
427,12800,7,5,1989,1644,2,2,2,2,569,8
428,8593,4,6,1957,907,1,3,1,1,352,7
429,6762,7,5,2007,1208,2,2,2,2,628,9
430,11457,6,5,1988,1412,2,3,2,2,576,3
431,1680,6,5,1971,987,1,2,1,1,264,7
432,5586,6,7,1998,1198,1,4,1,0,0,9
433,1920,5,5,1971,1365,1,2,1,2,440,8
434,10839,6,5,1998,1604,2,3,1,2,470,7
435,1890,4,7,1972,630,1,1,1,0,0,6
436,10667,7,6,1996,1661,2,3,2,2,550,4
437,4400,6,8,1950,1118,1,2,1,2,440,10
438,6000,6,7,2004,904,1,2,1,1,180,1
439,4280,5,6,2002,694,1,2,2,1,352,3
440,12354,6,8,2000,1196,1,3,2,2,528,8
441,15431,10,5,2008,2402,2,2,3,3,672,4
442,12108,4,4,1955,1440,2,4,0,0,0,9
443,6240,5,7,1992,1573,2,3,1,2,360,6
444,3922,7,5,2007,1258,2,2,2,3,648,6
445,8750,7,5,1995,1908,2,4,2,2,493,7
446,9855,6,5,1956,1689,1,3,1,2,480,11
447,16492,6,6,2002,1888,2,2,2,2,578,6
448,11214,7,5,1999,1886,2,4,2,2,431,7
449,8600,6,6,1950,1376,2,3,1,1,198,6
450,6000,3,7,2002,1183,1,2,1,1,308,6
451,5684,6,8,2005,813,1,2,2,1,270,6
452,70761,7,5,1975,1533,2,2,2,2,576,12
453,9303,6,5,1997,1756,2,3,1,2,422,7
454,9000,8,5,2008,1590,2,3,2,2,676,6
455,9297,5,5,1976,1728,2,4,1,2,560,7
456,9600,7,6,1973,1242,1,3,1,2,528,9
457,4571,5,5,1950,1344,1,4,1,3,513,5
458,53227,4,6,1994,1663,1,2,2,2,529,3
459,5100,8,7,1996,1666,1,3,2,1,228,6
460,7015,5,4,1950,1203,1,3,2,1,352,7
461,8004,8,5,2009,1935,2,3,1,2,552,12
462,7200,7,9,2007,1135,1,3,2,2,576,4
463,8281,5,5,1965,864,1,3,1,1,360,12
464,11988,6,7,1995,1660,1,3,1,1,240,8
465,8430,5,5,1978,1040,2,3,1,0,0,8
466,3072,7,5,2004,1414,2,2,2,2,398,5
467,10628,7,5,1970,1277,1,2,1,2,526,4
468,9480,5,7,1995,1644,1,3,2,1,312,6
469,11428,8,5,2006,1634,2,3,2,3,866,5
470,9291,6,5,1993,1710,2,3,2,2,506,6
471,6820,8,5,1985,1502,1,1,2,2,528,6
472,11952,7,6,1977,1969,2,3,1,2,534,11
473,3675,6,5,2005,1072,1,2,1,2,525,6
474,14977,8,5,2007,1976,2,2,2,3,908,7
475,5330,8,5,2000,1652,2,2,3,2,499,8
476,8480,5,6,1963,970,1,2,1,2,624,7
477,13125,6,5,1998,1493,2,3,2,2,508,4
478,13693,9,5,2006,2643,2,3,3,3,694,3
479,10637,8,5,2008,1718,2,3,2,3,826,9
480,5925,4,7,2000,1131,1,2,1,2,672,3
481,16033,9,5,2005,1850,2,3,2,3,772,3
482,11846,9,5,2004,1792,2,2,3,3,874,8
483,2500,7,8,2005,1826,1,4,3,1,164,6
484,4500,6,5,1998,1216,2,2,1,2,402,5
485,7758,5,7,2001,999,1,3,2,1,264,3
486,9600,5,7,2007,1113,1,3,2,1,264,7
487,10289,5,7,1965,1073,1,3,1,2,515,6
488,12243,5,6,1971,1484,2,3,1,2,487,2
489,10800,5,4,1970,2414,2,3,1,2,520,5
490,1526,4,8,2002,630,1,1,2,1,286,5
491,2665,5,6,1976,1304,1,3,1,1,336,6
492,9490,6,7,1950,1578,1,3,0,1,240,8
493,15578,6,5,2006,1456,2,3,1,2,429,5
494,7931,5,6,1960,1269,1,3,1,1,308,6
495,5784,5,8,1996,886,1,2,1,1,273,12
496,7879,4,5,1950,720,1,2,1,0,0,11
497,12692,8,5,1993,3228,3,4,2,2,546,5
498,9120,7,6,1950,1820,2,4,1,1,240,6
499,7800,5,7,2004,899,1,3,2,1,288,6
500,7535,5,7,1985,912,1,2,1,1,297,6
501,1890,6,5,1973,1218,1,3,1,1,264,5
502,9803,7,5,2005,1768,2,3,2,2,603,2
503,9170,5,7,1965,1214,1,2,1,2,461,4
504,15602,7,8,1997,1801,2,1,1,2,484,3
505,2308,6,5,1974,1322,2,3,1,2,440,6
506,7596,5,5,1952,1960,2,4,1,2,400,7
507,9554,8,5,1994,1911,2,3,2,2,471,9
508,7862,6,5,2009,1218,2,2,2,2,676,9
509,9600,7,9,2005,1378,2,3,2,2,360,10
510,9600,5,6,1959,1041,1,3,1,1,270,7
511,14559,5,7,2000,1363,1,2,1,1,288,6
512,6792,7,5,2006,1368,2,2,2,2,474,3
513,9100,5,5,1958,864,1,3,1,2,624,7
514,9187,6,5,1983,1080,1,3,1,2,484,6
515,10594,5,5,1950,789,1,2,1,1,200,6
